90,90,1
180,90,1
270,90,1
360,90,1
450,90,1
540,90,1
630,90,1
90,120,2
180,120,2
270,120,2
360,120,2
450,120,2
540,120,2
630,120,2
90,150,3
180,150,3
270,150,3
360,150,3
450,150,3
540,150,3
630,150,3
90,180,4
180,180,4
270,180,4
360,180,4
450,180,4
540,180,4
630,180,4
90,210,5
180,210,5
270,210,5
360,210,5
450,210,5
540,210,5
630,210,5
90,240,6
180,240,6
270,240,6
360,240,6
450,240,6
540,240,6
630,240,6
90,270,7
180,270,7
270,270,7
360,270,7
450,270,7
540,270,7
630,270,7
90,300,8
180,300,8
270,300,8
360,300,8
450,300,8
540,300,8
630,300,8
90,330,9
180,330,9
270,330,9
360,330,9
450,330,9
540,330,9
630,330,9
90,360,0
180,360,0
270,360,0
360,360,0
450,360,0
540,360,0
630,360,0
