# Snowdrop
# Top
360,90,4
450,90,4
360,120,4
450,120,4
360,150,4
450,150,4
360,180,4
450,180,4

# TopLeft
90,120,2
180,120,2
90,150,2
180,150,2
180,180,2
270,180,2
270,210,2
270,240,2

# Mid
360,210,#FFFFFF,20
360,240,#FFFFFF,20

# Right
540,180,3
630,180,3
450,210,3
540,210,3
630,210,3
450,240,3
540,240,3
630,240,3

# BottomLeft
180,270,7
270,270,7
90,300,7
180,300,7
270,300,7
90,330,7
180,330,7
270,330,7
180,360,7

# BottomRight
360,270,1
450,270,1
450,300,1
540,300,1
450,330,1
540,330,1
450,360,1
540,360,1
