# Yellow Triangle
90,180,3

90,210,3

90,240,3
180,240,3

90,270,3
180,270,3

90,300,3
180,300,3
270,300,3

90,330,3
180,330,3
270,330,3

90,360,3
180,360,3
270,360,3
360,360,3

# Blue Triangle
90,60,7
180,60,7
270,60,7
360,60,7
450,60,7
540,60,7

90,90,7
180,90,7
270,90,7
360,90,7

90,120,7
180,120,7

90,150,7

# Red Triangle

630,90,1

630,120,1

630,150,1

630,180,1

540,210,1
630,210,1

540,240,1
630,240,1

540,270,1
630,270,1

540,300,1
630,300,1

450,330,1
540,330,1
630,330,1

450,360,1
540,360,1
630,360,1
